Name	Parameters	Blocks	Epochs	Time	Training accuracy	Validation accuracy
CCL	328976	all	183	10m00s	0.945	0.883
CCLL	362000	all	153	10m02s	0.954	0.888
CMCML	295696	all	165	10m01s	0.983	0.908
CMCMLL	321040	all	136	10m02s	0.96	0.901
CLL	288112	all	110	10m00s	0.742	0.729
CML	262512	all	148	10m03s	0.98	0.88
CLD	1246468	all	81	10m05s	0.979	0.89
CD	1063236	all	119	10m00s	0.255	0.255
CM	32772	all	89	10m03s	0.968	0.907
CCM	32808	all	89	10m04s	0.259	0.248
D	524292	all	262	10m01s	0.995	0.844
LD	37124	all	10	10m31s	0.547	0.499
CL	32916	all	145	10m01s	0.956	0.867
Name	Parameters	Blocks	Epochs	Time	Training accuracy	Validation accuracy
CCL	328976	all	183	10m02s	0.946	0.873
CCLL	362000	all	163	10m03s	0.966	0.9
CMCML	295696	all	163	10m01s	0.968	0.876
CMCMLL	321040	all	136	10m02s	0.976	0.897
CLL	288112	all	105	10m05s	0.955	0.877
CML	262512	all	140	10m01s	0.973	0.866
CLD	1246468	all	82	10m05s	0.98	0.885
CD	1063236	all	119	10m01s	0.985	0.871
CM	32772	all	91	10m00s	0.963	0.898
CCM	32808	all	93	10m05s	0.976	0.902
D	524292	all	295	10m00s	0.999	0.85
LD	37124	all	10	10m56s	0.66	0.494
CL	32916	all	161	10m03s	0.967	0.885
