Name	Parameters	Blocks	Epochs	Time	Training accuracy	Validation accuracy
CCL	328976	all	80	10m03s	0.9758	0.872
CCLL	362000	all	80	10m01s	0.9834	0.884
CMCML	295696	all	60	10m03s	0.9762	0.881
CMCMLL	321040	all	77	10m03s	0.936	0.885
CLL	288112	all	64	10m08s	0.9468	0.879
CML	262512	all	57	10m00s	0.9878	0.886
CLD	1246468	all	47	10m05s	0.995	0.892
CD	1063236	all	48	10m06s	0.993	0.889
CM	32772	all	24	10m14s	0.9644	0.89
CCM	32808	all	24	10m12s	0.9784	0.902
D	524292	all	81	10m02s	0.9996	0.854
LD	37124	all	10	10m52s	0.6486	0.694
CL	32916	all	78	10m00s	0.9694	0.865
Name	Parameters	Blocks	Epochs	Time	Training accuracy	Validation accuracy
CCL	328976	all	66	10m06s	0.9858	0.869
CCLL	362000	all	78	10m02s	0.9832	0.893
CMCML	295696	all	80	10m05s	0.9906	0.876
CMCMLL	321040	all	57	10m01s	0.9796	0.911
CLL	288112	all	63	10m07s	0.975	0.893
CML	262512	all	66	10m04s	0.9912	0.903
CLD	1246468	all	42	10m09s	0.9898	0.904
CD	1063236	all	48	10m00s	0.996	0.891
CM	32772	all	23	10m02s	0.96	0.89
CCM	32808	all	23	10m14s	0.9686	0.892
D	524292	all	81	10m03s	0.9994	0.845
LD	37124	all	10	10m42s	0.7622	0.756
CL	32916	all	78	10m04s	0.971	0.874
