Name	Parameters	Blocks	Epochs	Time	Training accuracy	Validation accuracy
CCL	339776	all	245	60m08s	0.4298	0.384
CCLL	372800	all	262	60m08s	0.4032	0.354
CMCML	303040	all	339	60m05s	0.4972	0.418
CMCMLL	331840	all	309	60m03s	0.5018	0.453
CLL	298912	all	346	60m02s	0.5248	0.461
CML	268128	all	359	60m06s	0.4812	0.405
CLD	1249951	all	228	60m11s	0.7372	0.563
CD	1161759	all	294	60m07s	0.0324	0.029
CM	253983	all	97	60m34s	0.6862	0.502
CCM	255936	all	99	60m08s	0.6618	0.503
D	4063263	all	350	60m07s	0.031	0.028
LD	38015	all	60	60m25s	0.2592	0.289
CL	261795	all	386	60m05s	0.513	0.418
Name	Parameters	Blocks	Epochs	Time	Training accuracy	Validation accuracy
CCL	339776	all	309	60m12s	0.4424	0.361
CCLL	372800	all	381	60m00s	0.4222	0.408
CMCML	303040	all	387	60m08s	0.511	0.411
CMCMLL	331840	all	317	60m00s	0.4946	0.463
CLL	298912	all	344	60m08s	0.5026	0.429
CML	268128	all	317	60m01s	0.4582	0.363
CLD	1249951	all	241	60m10s	0.7422	0.554
CD	1161759	all	283	60m00s	0.0344	0.032
CM	253983	all	101	60m19s	0.6802	0.547
CCM	255936	all	102	60m19s	0.6766	0.497
D	4063263	all	377	60m04s	0.0326	0.028
LD	38015	all	60	60m16s	0.1256	0.162
CL	261795	all	411	60m05s	0.5006	0.429
