Name	Parameters	Epochs	Time	Training accuracy	Validation accuracy
C128_16_16L32D_mse	545123	7	2m03s	0.7776667	0.78333336
C128_16_16L64D_mse	574019	6	2m01s	0.79766667	0.782
C128_16_16L128D_mse	656387	4	2m01s	0.80766666	0.795
C128_16_16RL32D_mse	545123	6	2m08s	0.7876667	0.783
C128_16_16RL64D_mse	574019	6	2m16s	0.83066666	0.808
C128_16_16RL128D_mse	656387	5	2m22s	0.849	0.82666665
C128_16_16PL32D_mse	545123	6	2m00s	0.792	0.77066666
C128_16_16PL64D_mse	574019	5	2m02s	0.786	0.796
C128_16_16PL128D_mse	656387	5	2m26s	0.8056667	0.7863333
C128_16_16PRL32D_mse	545123	6	2m10s	0.79866666	0.79333335
C128_16_16PRL64D_mse	574019	5	2m15s	0.82266665	0.816
C128_16_16PRL128D_mse	656387	5	2m22s	0.84066665	0.85033333
C256_16_16L32D_mse	1085923	4	2m01s	0.7726667	0.77466667
C256_16_16L64D_mse	1131203	4	2m14s	0.79366666	0.75633335
C256_16_16L128D_mse	1246339	3	2m10s	0.801	0.789
C256_16_16RL32D_mse	1085923	4	2m06s	0.769	0.78466666
C256_16_16RL64D_mse	1131203	4	2m19s	0.8246667	0.81
C256_16_16RL128D_mse	1246339	3	2m14s	0.83633333	0.82766664
C256_16_16PL32D_mse	1085923	4	2m11s	0.7686667	0.75766665
C256_16_16PL64D_mse	1131203	3	2m00s	0.77633333	0.784
C256_16_16PL128D_mse	1246339	3	2m36s	0.789	0.76766664
C256_16_16PRL32D_mse	1085923	4	2m15s	0.758	0.73966664
C256_16_16PRL64D_mse	1131203	4	2m27s	0.81633335	0.813
C256_16_16PRL128D_mse	1246339	3	2m21s	0.832	0.81733334
